"id","year","player","team","completions","pass_attempts","passing_yards","passing_td","interception","times_sacked","sack_yards","longest_pass","qbr","rush_attempts","rushing_yards","rushing_td","longest_run","receptions","receiving_yards","receiving_td","longest_reception","fumble","fumbles_lost"
164,2012,"Ray Rice","BAL",0,0,0,0,0,0,0,0,,20,59,0,12,4,19,0,7,1,1
165,2012,"Bernard Pierce","BAL",0,0,0,0,0,0,0,0,,12,33,0,8,0,0,0,0,0,0
166,2012,"Justin Tucker","BAL",0,0,0,0,0,0,0,0,,1,8,0,8,0,0,0,0,0,0
167,2012,"Vonta Leach","BAL",0,0,0,0,0,0,0,0,,1,1,0,1,3,10,0,8,0,0
168,2012,"Anquan Boldin","BAL",0,0,0,0,0,0,0,0,,0,0,0,0,6,104,1,30,0,0
169,2012,"Jacoby Jones","BAL",0,0,0,0,0,0,0,0,,0,0,0,0,1,56,1,56,1,0
170,2012,"Ed Dickson","BAL",0,0,0,0,0,0,0,0,,0,0,0,0,2,37,0,23,0,0
171,2012,"Torrey Smith","BAL",0,0,0,0,0,0,0,0,,0,0,0,0,2,35,0,20,0,0
172,2012,"Dennis Pitta","BAL",0,0,0,0,0,0,0,0,,0,0,0,0,4,26,1,9,0,0
173,2012,"Sam Koch","BAL",0,0,0,0,0,0,0,0,,1,-8,0,-8,0,0,0,0,0,0
174,2012,"Colin Kaepernick","SFO",16,28,302,1,1,3,16,32,91.7,7,62,1,15,0,0,0,0,0,0
175,2012,"Frank Gore","SFO",0,0,0,0,0,0,0,0,,19,110,1,33,0,0,0,0,0,0
176,2012,"LaMichael James","SFO",0,0,0,0,0,0,0,0,,3,10,0,9,0,0,0,0,1,1
177,2012,"Michael Crabtree","SFO",0,0,0,0,0,0,0,0,,0,0,0,0,5,109,1,31,0,0
178,2012,"Vernon Davis","SFO",0,0,0,0,0,0,0,0,,0,0,0,0,6,104,0,29,0,0
179,2012,"Delanie Walker","SFO",0,0,0,0,0,0,0,0,,0,0,0,0,3,48,0,28,0,0
180,2012,"Randy Moss","SFO",0,0,0,0,0,0,0,0,,0,0,0,0,2,41,0,32,0,0
181,2012,"Ted Ginn Jr.","SFO",0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
182,2011,"Tom Brady","NWE",27,41,276,2,1,2,10,21,91.1,0,0,0,0,0,0,0,0,0,
183,2011,"BenJarvus Green-Ellis","NWE",0,0,0,0,0,,,0,,10,44,0,17,2,15,0,8,0,
184,2011,"Wes Welker","NWE",0,0,0,0,0,,,0,,2,21,0,11,7,60,0,19,0,
185,2011,"Danny Woodhead","NWE",0,0,0,0,0,,,0,,7,18,0,6,4,42,1,19,0,
186,2011,"Aaron Hernandez","NWE",0,0,0,0,0,,,0,,0,0,0,0,8,67,1,12,0,
